wkt_geom,ID,Name,Address,City,State,ZIP,Country,Phone Numb,X,Y,addrtype,addrlocat,add2,url,img,history2,founding,pic2
Point (-80.00692309999999452 40.45632570000000072),1,Allegheny,1230 Federal Street,Pittsburgh,PA,15212,United States,412-237-15212,40.4563926,-80.006615,street_address,RANGE_INTERPOLATED,"Pittsburgh, PA 15212",https://www.carnegielibrary.org/clp_location/allegheny/,Desktop/map/Allegheny-Exterior.jpg,Desktop/map/allegheny-history.jpg,Founded 1886,Desktop/map/allegheny-old.jpg
Point (-80.02771740000000023 40.40704889999999949),2,Beechview,1910 Broadway Avenue,Pittsburgh,PA,15216,United States,412-563-2900,40.4070489,-80.0277174,premise,ROOFTOP,"Pittsburgh, PA 15216",https://www.carnegielibrary.org/clp_location/beechview/,Desktop/map/Beechview-Exterior.jpg,,Founded 1965,
Point (-80.02144699999999489 40.39439289999999971),3,Brookline,708 Brookline Boulevard,Pittsburgh,PA,15226,United States,412-561-1003,40.3943929,-80.021447,premise,ROOFTOP,"Pittsburgh, PA 15226",https://www.carnegielibrary.org/clp_location/brookline/,Desktop/map/clp-brookline.jpg,,Opened 1930,Desktop/map/brookline-old.jpg
Point (-79.98754920000000368 40.39699170000000095),4,Carrick,1811 Brownsville Road,Pittsburgh,PA,15210,United States,412-882-3897,40.3969917,-79.9875492,premise,ROOFTOP,"Pittsburgh, PA 15210",https://www.carnegielibrary.org/clp_location/carrick/,Desktop/map/Carrick-Exterior.jpg,Desktop/map/carrick-history.PNG,Opened 1932,
Point (-79.99711220000000367 40.44174910000000267),5,Downtown & Business,612 Smithfield Street,Pittsburgh,PA,15222,United States,412-281-7141,40.4417491,-79.9971122,street_address,ROOFTOP,"Pittsburgh, PA 15222",https://www.carnegielibrary.org/clp_location/downtown-business/,Desktop/map/DTB-Exterior.jpg,Desktop/map/dbb-history.jpg,Opened 1924,
Point (-79.92652200000000562 40.46086400000000083),6,East Liberty,130 S. Whitfield Street,Pittsburgh,PA,15206,United States,412-363-8232,40.460864,-79.926522,premise,ROOFTOP,"Pittsburgh, PA 15206",https://www.carnegielibrary.org/clp_location/east-liberty/https://www.carnegielibrary.org/clp_location/east-liberty/,Desktop/map/EastLiberty-Exterior.jpg,Desktop/map/eastliberty-history.PNG,Granted 1890,Desktop/map/eastliberty-old.png
Point (-79.94397360000000674 40.40819729999999765),7,Hazelwood,5006 Second Avenue,Pittsburgh,PA,15207,United States,412-421-2517,40.460864,-79.926522,street_address,ROOFTOP,"Pittsburgh, PA 15207",https://www.carnegielibrary.org/clp_location/hazelwood/,Desktop/map/Hazelwood-Exterior.jpg,Desktop/map/hazelwood-history.jpg,Granted 1890,Desktop/map/hazelwood-old.jpg
Point (-79.97675780000000145 40.44543670000000191),8,Hill District,2177 Centre Avenue,Pittsburgh,PA,15219,United States,412-281-3753,40.4454367,-79.9767578,premise,ROOFTOP,"Pittsburgh, PA 15219",https://www.carnegielibrary.org/clp_location/hill-district/,Desktop/map/HillDistrict-Exterior.jpg,Desktop/map/hilldistrict-history.PNG,Opened 1899,
Point (-79.89922570000000235 40.45530939999999731),9,Homewood,7101 Hamilton Avenue,Pittsburgh,PA,15208,United States,412-731-3080,40.4553094,-79.8992257,premise,ROOFTOP,"Pittsburgh, PA 15208",https://www.carnegielibrary.org/clp_location/homewood/,Desktop/map/Homewood-Exterior.jpg,Desktop/map/homewood-history.jpg,Opened 1910,Desktop/map/homewood-old.jpg
Point (-79.98916040000000294 40.41320420000000269),10,Knoxville,400 Brownsville Road,Pittsburgh,PA,15210,United States,412-381-6543,40.4132042,-79.9891604,premise,ROOFTOP,"Pittsburgh, PA 15210",https://www.carnegielibrary.org/clp_location/knoxville/,Desktop/map/Knoxville-exterior.jpg,,,
Point (-79.95913600000000088 40.46757439999999661),11,Lawrenceville,279 Fisk Street,Pittsburgh,PA,15201,United States,412-682-3668,40.4675744,-79.959136,premise,ROOFTOP,"Pittsburgh, PA 15201",https://www.carnegielibrary.org/clp_location/lawrenceville/,Desktop/map/Lawrenceville-Exterior.jpg,Desktop/map/lawrenceville-history.jpg,Founded 1890,
Point (-79.94917460000000631 40.45383290000000187),12,Library for the Blind and Physically Handicapped,4724 Baum Blvd.,Pittsburgh,PA,15213,United States,412-687-2440,40.4538329,-79.9491746,premise,ROOFTOP,"Pittsburgh, PA 15213",https://www.carnegielibrary.org/clp_location/library-for-the-blind-and-physically-handicapped/,Desktop/map/LBPH.jpg,,,
Point (-79.95022249999999531 40.44328339999999855),13,Main (Oakland),4400 Forbes Avenue,Pittsburgh,PA,15213,United States,412-622-3114,40.4432834,-79.9502225,establishment,ROOFTOP,"Pittsburgh, PA 15213",https://www.carnegielibrary.org/clp_location/main-oakland/,Desktop/map/Main-Exterior.jpg,Desktop/map/main-history.jpg,Dedicated 1895,Desktop/map/main-old.JPG
Point (-80.01047110000000373 40.43351609999999852),14,Mt. Washington,315 Grandview Avenue,Pittsburgh,PA,15211,United States,412-381-3380,40.4335161,-80.0104711,premise,ROOFTOP,"Pittsburgh, PA 15211",https://www.carnegielibrary.org/clp_location/mt-washington/,Desktop/map/MtWashington-Exterior.jpg,,Opened 1900,
Point (-80.05653519999999901 40.4552006999999989),15,Sheraden,720 Sherwood Avenue,Pittsburgh,PA,15204,United States,412-331-1135,40.4552007,-80.0565352,premise,ROOFTOP,"Pittsburgh, PA 15204",https://www.carnegielibrary.org/clp_location/sheraden/,Desktop/map/Sheraden-Exterior.jpg,,,
Point (-79.97427270000000021 40.42868179999999967),16,South Side,2205 East Carson Street,Pittsburgh,PA,15203,United States,412-431-0505,40.4286818,-79.9742727,premise,ROOFTOP,"Pittsburgh, PA 15203",https://www.carnegielibrary.org/clp_location/south-side/,Desktop/map/SouthSide-Exterior.jpg,Desktop/map/southside-history.jpg,Opened 1908,Desktop/map/southside-old.jpg
Point (-79.92271270000000527 40.43844370000000055),17,Squirrel Hill,5801 Forbes Avenue,Pittsburgh,PA,15217,United States,412-422-9650,40.4384437,-79.9227127,premise,ROOFTOP,"Pittsburgh, PA 15217",https://www.carnegielibrary.org/clp_location/squirrel-hill/,Desktop/map/SqHill-Exterior.jpg,,,
Point (-80.0340450000000061 40.4400574000000006),18,West End,47 Wabash Street,Pittsburgh,PA,15220,United States,412-921-1717,40.4400415,-80.0340673,premise,ROOFTOP,"Pittsburgh, PA 15220",https://www.carnegielibrary.org/clp_location/west-end/,Desktop/map/WestEnd-Exterior.jpg,Desktop/map/westend-history.PNG,Founded 1890,
Point (-80.03021209999999996 40.47623899999999963),19,Woods Run,1201 Woods Run Avenue,Pittsburgh,PA,15212,United States,412-761-3730,40.476239,-80.0302121,premise,ROOFTOP,"Pittsburgh, PA 15212",https://www.carnegielibrary.org/clp_location/woods-run/,Desktop/map/WoodsRun-Exterior.jpg,,,
